category_main_number,category_main_title_kr,category_main_title_en,category_sub_number,category_sub_title_kr,category_link,info
002,아우터,Outer,002,레더/라이더스 재킷,https://www.musinsa.com/categories/item/002002,002|아우터|Outer|002|레더/라이더스 재킷|https://www.musinsa.com/categories/item/002002
002,아우터,Outer,017,트러커 재킷,https://www.musinsa.com/categories/item/002017,002|아우터|Outer|017|트러커 재킷|https://www.musinsa.com/categories/item/002017
002,아우터,Outer,003,슈트/블레이저 재킷,https://www.musinsa.com/categories/item/002003,002|아우터|Outer|003|슈트/블레이저 재킷|https://www.musinsa.com/categories/item/002003
002,아우터,Outer,020,카디건,https://www.musinsa.com/categories/item/002020,002|아우터|Outer|020|카디건|https://www.musinsa.com/categories/item/002020
002,아우터,Outer,019,아노락 재킷,https://www.musinsa.com/categories/item/002019,002|아우터|Outer|019|아노락 재킷|https://www.musinsa.com/categories/item/002019
002,아우터,Outer,018,트레이닝 재킷,https://www.musinsa.com/categories/item/002018,002|아우터|Outer|018|트레이닝 재킷|https://www.musinsa.com/categories/item/002018
002,아우터,Outer,004,스타디움 재킷,https://www.musinsa.com/categories/item/002004,002|아우터|Outer|004|스타디움 재킷|https://www.musinsa.com/categories/item/002004
002,아우터,Outer,008,환절기 코트,https://www.musinsa.com/categories/item/002008,002|아우터|Outer|008|환절기 코트|https://www.musinsa.com/categories/item/002008
002,아우터,Outer,007,겨울 싱글 코트,https://www.musinsa.com/categories/item/002007,002|아우터|Outer|007|겨울 싱글 코트|https://www.musinsa.com/categories/item/002007
002,아우터,Outer,024,겨울 더블 코트,https://www.musinsa.com/categories/item/002024,002|아우터|Outer|024|겨울 더블 코트|https://www.musinsa.com/categories/item/002024
002,아우터,Outer,009,겨울 기타 코트,https://www.musinsa.com/categories/item/002009,002|아우터|Outer|009|겨울 기타 코트|https://www.musinsa.com/categories/item/002009
002,아우터,Outer,013,롱패딩/롱헤비 아우터,https://www.musinsa.com/categories/item/002013,002|아우터|Outer|013|롱패딩/롱헤비 아우터|https://www.musinsa.com/categories/item/002013
002,아우터,Outer,021,베스트,https://www.musinsa.com/categories/item/002021,002|아우터|Outer|021|베스트|https://www.musinsa.com/categories/item/002021
002,아우터,Outer,014,사파리/헌팅 재킷,https://www.musinsa.com/categories/item/002014,002|아우터|Outer|014|사파리/헌팅 재킷|https://www.musinsa.com/categories/item/002014
002,아우터,Outer,006,나일론/코치 재킷,https://www.musinsa.com/categories/item/002006,002|아우터|Outer|006|나일론/코치 재킷|https://www.musinsa.com/categories/item/002006
002,아우터,Outer,015,기타 아우터,https://www.musinsa.com/categories/item/002015,002|아우터|Outer|015|기타 아우터|https://www.musinsa.com/categories/item/002015
003,바지,Pants,007,코튼 팬츠,https://www.musinsa.com/categories/item/003007,003|바지|Pants|007|코튼 팬츠|https://www.musinsa.com/categories/item/003007
003,바지,Pants,008,슈트 팬츠/슬랙스,https://www.musinsa.com/categories/item/003008,003|바지|Pants|008|슈트 팬츠/슬랙스|https://www.musinsa.com/categories/item/003008
003,바지,Pants,009,숏 팬츠,https://www.musinsa.com/categories/item/003009,003|바지|Pants|009|숏 팬츠|https://www.musinsa.com/categories/item/003009
003,바지,Pants,005,레깅스,https://www.musinsa.com/categories/item/003005,003|바지|Pants|005|레깅스|https://www.musinsa.com/categories/item/003005
003,바지,Pants,010,점프 슈트/오버올,https://www.musinsa.com/categories/item/003010,003|바지|Pants|010|점프 슈트/오버올|https://www.musinsa.com/categories/item/003010
003,바지,Pants,006,기타 바지,https://www.musinsa.com/categories/item/003006,003|바지|Pants|006|기타 바지|https://www.musinsa.com/categories/item/003006
020,원피스,Onepiece,006,미니 원피스,https://www.musinsa.com/categories/item/020006,020|원피스|Onepiece|006|미니 원피스|https://www.musinsa.com/categories/item/020006
020,원피스,Onepiece,007,미디 원피스,https://www.musinsa.com/categories/item/020007,020|원피스|Onepiece|007|미디 원피스|https://www.musinsa.com/categories/item/020007
020,원피스,Onepiece,008,맥시 원피스,https://www.musinsa.com/categories/item/020008,020|원피스|Onepiece|008|맥시 원피스|https://www.musinsa.com/categories/item/020008
022,스커트,Skirt,001,미니스커트,https://www.musinsa.com/categories/item/022001,022|스커트|Skirt|001|미니스커트|https://www.musinsa.com/categories/item/022001
022,스커트,Skirt,002,미디스커트,https://www.musinsa.com/categories/item/022002,022|스커트|Skirt|002|미디스커트|https://www.musinsa.com/categories/item/022002
022,스커트,Skirt,003,롱스커트,https://www.musinsa.com/categories/item/022003,022|스커트|Skirt|003|롱스커트|https://www.musinsa.com/categories/item/022003
018,스니커즈,Sneakers,003,패션스니커즈화,https://www.musinsa.com/categories/item/018003,018|스니커즈|Sneakers|003|패션스니커즈화|https://www.musinsa.com/categories/item/018003
018,스니커즈,Sneakers,004,기타 스니커즈,https://www.musinsa.com/categories/item/018004,018|스니커즈|Sneakers|004|기타 스니커즈|https://www.musinsa.com/categories/item/018004
005,신발,Shoes,014,구두,https://www.musinsa.com/categories/item/005014,005|신발|Shoes|014|구두|https://www.musinsa.com/categories/item/005014
005,신발,Shoes,015,로퍼,https://www.musinsa.com/categories/item/005015,005|신발|Shoes|015|로퍼|https://www.musinsa.com/categories/item/005015
005,신발,Shoes,012,힐/펌프스,https://www.musinsa.com/categories/item/005012,005|신발|Shoes|012|힐/펌프스|https://www.musinsa.com/categories/item/005012
005,신발,Shoes,017,플랫 슈즈,https://www.musinsa.com/categories/item/005017,005|신발|Shoes|017|플랫 슈즈|https://www.musinsa.com/categories/item/005017
005,신발,Shoes,019,블로퍼,https://www.musinsa.com/categories/item/005019,005|신발|Shoes|019|블로퍼|https://www.musinsa.com/categories/item/005019
005,신발,Shoes,004,샌들,https://www.musinsa.com/categories/item/005004,005|신발|Shoes|004|샌들|https://www.musinsa.com/categories/item/005004
005,신발,Shoes,018,슬리퍼,https://www.musinsa.com/categories/item/005018,005|신발|Shoes|018|슬리퍼|https://www.musinsa.com/categories/item/005018
005,신발,Shoes,006,기타 신발,https://www.musinsa.com/categories/item/005006,005|신발|Shoes|006|기타 신발|https://www.musinsa.com/categories/item/005006
005,신발,Shoes,016,모카신/보트 슈즈,https://www.musinsa.com/categories/item/005016,005|신발|Shoes|016|모카신/보트 슈즈|https://www.musinsa.com/categories/item/005016
005,신발,Shoes,011,부츠,https://www.musinsa.com/categories/item/005011,005|신발|Shoes|011|부츠|https://www.musinsa.com/categories/item/005011
005,신발,Shoes,005,신발 용품,https://www.musinsa.com/categories/item/005005,005|신발|Shoes|005|신발 용품|https://www.musinsa.com/categories/item/005005
004,가방,Bag,001,백팩,https://www.musinsa.com/categories/item/004001,004|가방|Bag|001|백팩|https://www.musinsa.com/categories/item/004001
004,가방,Bag,002,메신저/크로스 백,https://www.musinsa.com/categories/item/004002,004|가방|Bag|002|메신저/크로스 백|https://www.musinsa.com/categories/item/004002
004,가방,Bag,003,숄더백,https://www.musinsa.com/categories/item/004003,004|가방|Bag|003|숄더백|https://www.musinsa.com/categories/item/004003
004,가방,Bag,015,토트백,https://www.musinsa.com/categories/item/004015,004|가방|Bag|015|토트백|https://www.musinsa.com/categories/item/004015
004,가방,Bag,014,에코백,https://www.musinsa.com/categories/item/004014,004|가방|Bag|014|에코백|https://www.musinsa.com/categories/item/004014
004,가방,Bag,006,보스턴/드럼/더플백,https://www.musinsa.com/categories/item/004006,004|가방|Bag|006|보스턴/드럼/더플백|https://www.musinsa.com/categories/item/004006
004,가방,Bag,007,웨이스트 백,https://www.musinsa.com/categories/item/004007,004|가방|Bag|007|웨이스트 백|https://www.musinsa.com/categories/item/004007
004,가방,Bag,013,파우치 백,https://www.musinsa.com/categories/item/004013,004|가방|Bag|013|파우치 백|https://www.musinsa.com/categories/item/004013
004,가방,Bag,008,브리프케이스,https://www.musinsa.com/categories/item/004008,004|가방|Bag|008|브리프케이스|https://www.musinsa.com/categories/item/004008
004,가방,Bag,009,캐리어,https://www.musinsa.com/categories/item/004009,004|가방|Bag|009|캐리어|https://www.musinsa.com/categories/item/004009
004,가방,Bag,012,가방 소품,https://www.musinsa.com/categories/item/004012,004|가방|Bag|012|가방 소품|https://www.musinsa.com/categories/item/004012
004,가방,Bag,016,지갑/머니클립,https://www.musinsa.com/categories/item/004016,004|가방|Bag|016|지갑/머니클립|https://www.musinsa.com/categories/item/004016
004,가방,Bag,005,클러치 백,https://www.musinsa.com/categories/item/004005,004|가방|Bag|005|클러치 백|https://www.musinsa.com/categories/item/004005
054,여성 가방,Women's bag,001,크로스백,https://www.musinsa.com/categories/item/054001,054|여성 가방|Women's bag|001|크로스백|https://www.musinsa.com/categories/item/054001
054,여성 가방,Women's bag,002,토트백,https://www.musinsa.com/categories/item/054002,054|여성 가방|Women's bag|002|토트백|https://www.musinsa.com/categories/item/054002
054,여성 가방,Women's bag,003,숄더백,https://www.musinsa.com/categories/item/054003,054|여성 가방|Women's bag|003|숄더백|https://www.musinsa.com/categories/item/054003
054,여성 가방,Women's bag,004,클러치 백,https://www.musinsa.com/categories/item/054004,054|여성 가방|Women's bag|004|클러치 백|https://www.musinsa.com/categories/item/054004
054,여성 가방,Women's bag,005,파우치 백,https://www.musinsa.com/categories/item/054005,054|여성 가방|Women's bag|005|파우치 백|https://www.musinsa.com/categories/item/054005
054,여성 가방,Women's bag,006,백팩,https://www.musinsa.com/categories/item/054006,054|여성 가방|Women's bag|006|백팩|https://www.musinsa.com/categories/item/054006
054,여성 가방,Women's bag,007,웨이스트 백,https://www.musinsa.com/categories/item/054007,054|여성 가방|Women's bag|007|웨이스트 백|https://www.musinsa.com/categories/item/054007
054,여성 가방,Women's bag,008,지갑/머니클립,https://www.musinsa.com/categories/item/054008,054|여성 가방|Women's bag|008|지갑/머니클립|https://www.musinsa.com/categories/item/054008
054,여성 가방,Women's bag,009,가방 소품,https://www.musinsa.com/categories/item/054009,054|여성 가방|Women's bag|009|가방 소품|https://www.musinsa.com/categories/item/054009
017,스포츠/용품,Sports/Goods,016,상의,https://www.musinsa.com/categories/item/017016,017|스포츠/용품|Sports/Goods|016|상의|https://www.musinsa.com/categories/item/017016
017,스포츠/용품,Sports/Goods,017,스커트,https://www.musinsa.com/categories/item/017017,017|스포츠/용품|Sports/Goods|017|스커트|https://www.musinsa.com/categories/item/017017
017,스포츠/용품,Sports/Goods,018,아우터,https://www.musinsa.com/categories/item/017018,017|스포츠/용품|Sports/Goods|018|아우터|https://www.musinsa.com/categories/item/017018
017,스포츠/용품,Sports/Goods,019,원피스,https://www.musinsa.com/categories/item/017019,017|스포츠/용품|Sports/Goods|019|원피스|https://www.musinsa.com/categories/item/017019
017,스포츠/용품,Sports/Goods,020,하의,https://www.musinsa.com/categories/item/017020,017|스포츠/용품|Sports/Goods|020|하의|https://www.musinsa.com/categories/item/017020
017,스포츠/용품,Sports/Goods,021,상하의세트,https://www.musinsa.com/categories/item/017021,017|스포츠/용품|Sports/Goods|021|상하의세트|https://www.musinsa.com/categories/item/017021
017,스포츠/용품,Sports/Goods,022,수영복/비치웨어,https://www.musinsa.com/categories/item/017022,017|스포츠/용품|Sports/Goods|022|수영복/비치웨어|https://www.musinsa.com/categories/item/017022
017,스포츠/용품,Sports/Goods,023,스포츠신발,https://www.musinsa.com/categories/item/017023,017|스포츠/용품|Sports/Goods|023|스포츠신발|https://www.musinsa.com/categories/item/017023
017,스포츠/용품,Sports/Goods,024,기구/용품/장비,https://www.musinsa.com/categories/item/017024,017|스포츠/용품|Sports/Goods|024|기구/용품/장비|https://www.musinsa.com/categories/item/017024
017,스포츠/용품,Sports/Goods,025,스포츠가방,https://www.musinsa.com/categories/item/017025,017|스포츠/용품|Sports/Goods|025|스포츠가방|https://www.musinsa.com/categories/item/017025
017,스포츠/용품,Sports/Goods,026,스포츠잡화,https://www.musinsa.com/categories/item/017026,017|스포츠/용품|Sports/Goods|026|스포츠잡화|https://www.musinsa.com/categories/item/017026
017,스포츠/용품,Sports/Goods,027,스포츠모자,https://www.musinsa.com/categories/item/017027,017|스포츠/용품|Sports/Goods|027|스포츠모자|https://www.musinsa.com/categories/item/017027
017,스포츠/용품,Sports/Goods,028,캠핑용품,https://www.musinsa.com/categories/item/017028,017|스포츠/용품|Sports/Goods|028|캠핑용품|https://www.musinsa.com/categories/item/017028
007,모자,Headwear,002,헌팅캡/베레모,https://www.musinsa.com/categories/item/007002,007|모자|Headwear|002|헌팅캡/베레모|https://www.musinsa.com/categories/item/007002
007,모자,Headwear,003,페도라,https://www.musinsa.com/categories/item/007003,007|모자|Headwear|003|페도라|https://www.musinsa.com/categories/item/007003
007,모자,Headwear,004,버킷/사파리햇,https://www.musinsa.com/categories/item/007004,007|모자|Headwear|004|버킷/사파리햇|https://www.musinsa.com/categories/item/007004
007,모자,Headwear,005,비니,https://www.musinsa.com/categories/item/007005,007|모자|Headwear|005|비니|https://www.musinsa.com/categories/item/007005
007,모자,Headwear,007,트루퍼,https://www.musinsa.com/categories/item/007007,007|모자|Headwear|007|트루퍼|https://www.musinsa.com/categories/item/007007
007,모자,Headwear,006,기타 모자,https://www.musinsa.com/categories/item/007006,007|모자|Headwear|006|기타 모자|https://www.musinsa.com/categories/item/007006
008,양말/레그웨어,Socks/Legwear,002,스타킹,https://www.musinsa.com/categories/item/008002,008|양말/레그웨어|Socks/Legwear|002|스타킹|https://www.musinsa.com/categories/item/008002
026,속옷,Underwear,001,여성 속옷 상의,https://www.musinsa.com/categories/item/026001,026|속옷|Underwear|001|여성 속옷 상의|https://www.musinsa.com/categories/item/026001
026,속옷,Underwear,002,여성 속옷 하의,https://www.musinsa.com/categories/item/026002,026|속옷|Underwear|002|여성 속옷 하의|https://www.musinsa.com/categories/item/026002
026,속옷,Underwear,003,여성 속옷 세트,https://www.musinsa.com/categories/item/026003,026|속옷|Underwear|003|여성 속옷 세트|https://www.musinsa.com/categories/item/026003
026,속옷,Underwear,004,남성 속옷,https://www.musinsa.com/categories/item/026004,026|속옷|Underwear|004|남성 속옷|https://www.musinsa.com/categories/item/026004
026,속옷,Underwear,005,홈웨어,https://www.musinsa.com/categories/item/026005,026|속옷|Underwear|005|홈웨어|https://www.musinsa.com/categories/item/026005
009,선글라스/안경테,Eyewear,002,안경,https://www.musinsa.com/categories/item/009002,009|선글라스/안경테|Eyewear|002|안경|https://www.musinsa.com/categories/item/009002
009,선글라스/안경테,Eyewear,001,선글라스,https://www.musinsa.com/categories/item/009001,009|선글라스/안경테|Eyewear|001|선글라스|https://www.musinsa.com/categories/item/009001
009,선글라스/안경테,Eyewear,003,안경 소품,https://www.musinsa.com/categories/item/009003,009|선글라스/안경테|Eyewear|003|안경 소품|https://www.musinsa.com/categories/item/009003
011,액세서리,Accessory,015,마스크,https://www.musinsa.com/categories/item/011015,011|액세서리|Accessory|015|마스크|https://www.musinsa.com/categories/item/011015
011,액세서리,Accessory,012,키링/키케이스,https://www.musinsa.com/categories/item/011012,011|액세서리|Accessory|012|키링/키케이스|https://www.musinsa.com/categories/item/011012
011,액세서리,Accessory,007,벨트,https://www.musinsa.com/categories/item/011007,011|액세서리|Accessory|007|벨트|https://www.musinsa.com/categories/item/011007
011,액세서리,Accessory,009,넥타이,https://www.musinsa.com/categories/item/011009,011|액세서리|Accessory|009|넥타이|https://www.musinsa.com/categories/item/011009
011,액세서리,Accessory,010,머플러,https://www.musinsa.com/categories/item/011010,011|액세서리|Accessory|010|머플러|https://www.musinsa.com/categories/item/011010
011,액세서리,Accessory,014,스카프/반다나,https://www.musinsa.com/categories/item/011014,011|액세서리|Accessory|014|스카프/반다나|https://www.musinsa.com/categories/item/011014
011,액세서리,Accessory,011,장갑,https://www.musinsa.com/categories/item/011011,011|액세서리|Accessory|011|장갑|https://www.musinsa.com/categories/item/011011
011,액세서리,Accessory,006,기타 액세서리,https://www.musinsa.com/categories/item/011006,011|액세서리|Accessory|006|기타 액세서리|https://www.musinsa.com/categories/item/011006
006,시계,Watch,003,디지털,https://www.musinsa.com/categories/item/006003,006|시계|Watch|003|디지털|https://www.musinsa.com/categories/item/006003
006,시계,Watch,004,쿼츠 아날로그,https://www.musinsa.com/categories/item/006004,006|시계|Watch|004|쿼츠 아날로그|https://www.musinsa.com/categories/item/006004
006,시계,Watch,005,오토매틱 아날로그,https://www.musinsa.com/categories/item/006005,006|시계|Watch|005|오토매틱 아날로그|https://www.musinsa.com/categories/item/006005
006,시계,Watch,006,시계 용품,https://www.musinsa.com/categories/item/006006,006|시계|Watch|006|시계 용품|https://www.musinsa.com/categories/item/006006
006,시계,Watch,002,기타 시계,https://www.musinsa.com/categories/item/006002,006|시계|Watch|002|기타 시계|https://www.musinsa.com/categories/item/006002
025,주얼리,Jewelry,001,팔찌,https://www.musinsa.com/categories/item/025001,025|주얼리|Jewelry|001|팔찌|https://www.musinsa.com/categories/item/025001
025,주얼리,Jewelry,002,반지,https://www.musinsa.com/categories/item/025002,025|주얼리|Jewelry|002|반지|https://www.musinsa.com/categories/item/025002
025,주얼리,Jewelry,003,목걸이/펜던트,https://www.musinsa.com/categories/item/025003,025|주얼리|Jewelry|003|목걸이/펜던트|https://www.musinsa.com/categories/item/025003
025,주얼리,Jewelry,004,귀걸이,https://www.musinsa.com/categories/item/025004,025|주얼리|Jewelry|004|귀걸이|https://www.musinsa.com/categories/item/025004
025,주얼리,Jewelry,005,발찌,https://www.musinsa.com/categories/item/025005,025|주얼리|Jewelry|005|발찌|https://www.musinsa.com/categories/item/025005
025,주얼리,Jewelry,006,브로치/배지,https://www.musinsa.com/categories/item/025006,025|주얼리|Jewelry|006|브로치/배지|https://www.musinsa.com/categories/item/025006
025,주얼리,Jewelry,007,헤어 액세서리,https://www.musinsa.com/categories/item/025007,025|주얼리|Jewelry|007|헤어 액세서리|https://www.musinsa.com/categories/item/025007
015,뷰티,Beauty,002,스킨케어,https://www.musinsa.com/categories/item/015002,015|뷰티|Beauty|002|스킨케어|https://www.musinsa.com/categories/item/015002
015,뷰티,Beauty,009,클렌징,https://www.musinsa.com/categories/item/015009,015|뷰티|Beauty|009|클렌징|https://www.musinsa.com/categories/item/015009
015,뷰티,Beauty,006,베이스 메이크업,https://www.musinsa.com/categories/item/015006,015|뷰티|Beauty|006|베이스 메이크업|https://www.musinsa.com/categories/item/015006
015,뷰티,Beauty,016,포인트 메이크업,https://www.musinsa.com/categories/item/015016,015|뷰티|Beauty|016|포인트 메이크업|https://www.musinsa.com/categories/item/015016
015,뷰티,Beauty,010,바디케어,https://www.musinsa.com/categories/item/015010,015|뷰티|Beauty|010|바디케어|https://www.musinsa.com/categories/item/015010
015,뷰티,Beauty,011,쉐이빙/제모,https://www.musinsa.com/categories/item/015011,015|뷰티|Beauty|011|쉐이빙/제모|https://www.musinsa.com/categories/item/015011
015,뷰티,Beauty,001,헤어케어,https://www.musinsa.com/categories/item/015001,015|뷰티|Beauty|001|헤어케어|https://www.musinsa.com/categories/item/015001
015,뷰티,Beauty,007,향수/탈취,https://www.musinsa.com/categories/item/015007,015|뷰티|Beauty|007|향수/탈취|https://www.musinsa.com/categories/item/015007
015,뷰티,Beauty,014,뷰티 디바이스,https://www.musinsa.com/categories/item/015014,015|뷰티|Beauty|014|뷰티 디바이스|https://www.musinsa.com/categories/item/015014
015,뷰티,Beauty,012,다이어트/헬스,https://www.musinsa.com/categories/item/015012,015|뷰티|Beauty|012|다이어트/헬스|https://www.musinsa.com/categories/item/015012
015,뷰티,Beauty,013,미용 소품,https://www.musinsa.com/categories/item/015013,015|뷰티|Beauty|013|미용 소품|https://www.musinsa.com/categories/item/015013
015,뷰티,Beauty,015,덴탈케어,https://www.musinsa.com/categories/item/015015,015|뷰티|Beauty|015|덴탈케어|https://www.musinsa.com/categories/item/015015
012,디지털/테크,Digital/Tech,001,이어폰,https://www.musinsa.com/categories/item/012001,012|디지털/테크|Digital/Tech|001|이어폰|https://www.musinsa.com/categories/item/012001
012,디지털/테크,Digital/Tech,002,헤드폰,https://www.musinsa.com/categories/item/012002,012|디지털/테크|Digital/Tech|002|헤드폰|https://www.musinsa.com/categories/item/012002
012,디지털/테크,Digital/Tech,003,스피커,https://www.musinsa.com/categories/item/012003,012|디지털/테크|Digital/Tech|003|스피커|https://www.musinsa.com/categories/item/012003
012,디지털/테크,Digital/Tech,004,케이스/슬리브,https://www.musinsa.com/categories/item/012004,012|디지털/테크|Digital/Tech|004|케이스/슬리브|https://www.musinsa.com/categories/item/012004
012,디지털/테크,Digital/Tech,010,휴대폰/태블릿,https://www.musinsa.com/categories/item/012010,012|디지털/테크|Digital/Tech|010|휴대폰/태블릿|https://www.musinsa.com/categories/item/012010
012,디지털/테크,Digital/Tech,011,노트북,https://www.musinsa.com/categories/item/012011,012|디지털/테크|Digital/Tech|011|노트북|https://www.musinsa.com/categories/item/012011
012,디지털/테크,Digital/Tech,012,모니터,https://www.musinsa.com/categories/item/012012,012|디지털/테크|Digital/Tech|012|모니터|https://www.musinsa.com/categories/item/012012
012,디지털/테크,Digital/Tech,009,충전기/케이블,https://www.musinsa.com/categories/item/012009,012|디지털/테크|Digital/Tech|009|충전기/케이블|https://www.musinsa.com/categories/item/012009
012,디지털/테크,Digital/Tech,005,거치대,https://www.musinsa.com/categories/item/012005,012|디지털/테크|Digital/Tech|005|거치대|https://www.musinsa.com/categories/item/012005
012,디지털/테크,Digital/Tech,006,카메라/카메라용품,https://www.musinsa.com/categories/item/012006,012|디지털/테크|Digital/Tech|006|카메라/카메라용품|https://www.musinsa.com/categories/item/012006
012,디지털/테크,Digital/Tech,008,기타 디지털/테크,https://www.musinsa.com/categories/item/012008,012|디지털/테크|Digital/Tech|008|기타 디지털/테크|https://www.musinsa.com/categories/item/012008
013,생활/취미/예술,Life,012,우산,https://www.musinsa.com/categories/item/013012,013|생활/취미/예술|Life|012|우산|https://www.musinsa.com/categories/item/013012
013,생활/취미/예술,Life,004,가구/조명,https://www.musinsa.com/categories/item/013004,013|생활/취미/예술|Life|004|가구/조명|https://www.musinsa.com/categories/item/013004
013,생활/취미/예술,Life,006,침구/쿠션/담요,https://www.musinsa.com/categories/item/013006,013|생활/취미/예술|Life|006|침구/쿠션/담요|https://www.musinsa.com/categories/item/013006
013,생활/취미/예술,Life,007,러그/매트/수건,https://www.musinsa.com/categories/item/013007,013|생활/취미/예술|Life|007|러그/매트/수건|https://www.musinsa.com/categories/item/013007
013,생활/취미/예술,Life,003,디퓨저/캔들,https://www.musinsa.com/categories/item/013003,013|생활/취미/예술|Life|003|디퓨저/캔들|https://www.musinsa.com/categories/item/013003
013,생활/취미/예술,Life,002,액자/포스터,https://www.musinsa.com/categories/item/013002,013|생활/취미/예술|Life|002|액자/포스터|https://www.musinsa.com/categories/item/013002
013,생활/취미/예술,Life,008,키친,https://www.musinsa.com/categories/item/013008,013|생활/취미/예술|Life|008|키친|https://www.musinsa.com/categories/item/013008
013,생활/취미/예술,Life,013,텀블러,https://www.musinsa.com/categories/item/013013,013|생활/취미/예술|Life|013|텀블러|https://www.musinsa.com/categories/item/013013
013,생활/취미/예술,Life,005,문구,https://www.musinsa.com/categories/item/013005,013|생활/취미/예술|Life|005|문구|https://www.musinsa.com/categories/item/013005
013,생활/취미/예술,Life,001,토이,https://www.musinsa.com/categories/item/013001,013|생활/취미/예술|Life|001|토이|https://www.musinsa.com/categories/item/013001
013,생활/취미/예술,Life,011,기타 라이프,https://www.musinsa.com/categories/item/013011,013|생활/취미/예술|Life|011|기타 라이프|https://www.musinsa.com/categories/item/013011
014,책/음악/티켓,Culture,001,잡지/무크지,https://www.musinsa.com/categories/item/014001,014|책/음악/티켓|Culture|001|잡지/무크지|https://www.musinsa.com/categories/item/014001
014,책/음악/티켓,Culture,003,아트,https://www.musinsa.com/categories/item/014003,014|책/음악/티켓|Culture|003|아트|https://www.musinsa.com/categories/item/014003
014,책/음악/티켓,Culture,002,기타 컬처,https://www.musinsa.com/categories/item/014002,014|책/음악/티켓|Culture|002|기타 컬처|https://www.musinsa.com/categories/item/014002
021,반려동물,Pet,004,반려동물 의류,https://www.musinsa.com/categories/item/021004,021|반려동물|Pet|004|반려동물 의류|https://www.musinsa.com/categories/item/021004
021,반려동물,Pet,002,반려동물용품,https://www.musinsa.com/categories/item/021002,021|반려동물|Pet|002|반려동물용품|https://www.musinsa.com/categories/item/021002
